point_id,point_name,timestamp,value,data_type
AHU-4 EconMd,AHU-4 EconMd,2020-02-03 09:29:35,0.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-02-03 09:29:35,0.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-02-10 13:06:31,0.0,binary
AHU-4 EconMd,AHU-4 EconMd,2020-02-10 13:06:31,0.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-02-20 08:15:24,0.0,binary
AHU-4 EconMd,AHU-4 EconMd,2020-02-20 08:15:24,0.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-03-09 08:15:48,0.0,binary
AHU-4 EconMd,AHU-4 EconMd,2020-03-09 08:15:48,0.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-03-24 07:46:10,0.0,binary
AHU-4 EconMd,AHU-4 EconMd,2020-03-24 07:46:10,0.0,binary
AHU-4 EconMd,AHU-4 EconMd,2020-04-01 10:35:06,0.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-04-01 10:35:06,0.0,binary
AHU-4 EconMd,AHU-4 EconMd,2020-04-17 09:38:55,0.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-04-17 09:38:55,0.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-04-29 13:37:39,0.0,binary
AHU-4 EconMd,AHU-4 EconMd,2020-04-29 13:37:39,0.0,binary
AHU-4 EconMd,AHU-4 EconMd,2020-05-02 14:31:55,0.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-05-02 14:31:55,0.0,binary
AHU-4 EconMd,AHU-4 EconMd,2020-07-06 19:19:04,0.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-07-06 19:19:04,0.0,binary
AHU-4 EconMd,AHU-4 EconMd,2020-07-07 22:19:15,0.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-07-07 22:19:15,0.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-07-09 15:12:44,1.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-07-09 15:17:33,0.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-07-09 15:18:27,1.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-07-09 15:19:41,0.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-07-09 15:22:02,1.0,binary
AHU-4 HrwClgMd,AHU-4 HrwClgMd,2020-07-09 15:26:44,0.0,binary
